mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002596330642700195,0.00048627018757712415,0.0019979953765869142,1.4096971034140094e-06,gini,,1,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9795918367346939,0.9591836734693877,0.9795918367346939,0.9791666666666666,0.9791666666666666,0.9753401360544217,0.00808046871986708,752
0.0024016380310058595,0.0004931754186032117,0.0013993263244628906,0.0004972924961194264,gini,,1,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.9795918367346939,0.9387755102040817,0.9795918367346939,1.0,0.9791666666666666,0.9754251700680273,0.019979193443921295,565
0.0019979953765869142,1.5771708878079634e-06,0.0015999317169189454,0.000490292642921373,gini,,1,4,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9387755102040817,0.9387755102040817,0.9795918367346939,1.0,0.9791666666666666,0.9672619047619048,0.024447833474928675,856
0.003399562835693359,0.0004900219184907692,0.0019935131072998046,0.0006321706206152282,gini,,1,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9387755102040817,0.9591836734693877,0.9795918367346939,1.0,0.9791666666666666,0.9713435374149662,0.0207796406534279,765
0.0023985862731933593,0.0004896093863255837,0.0011992931365966796,0.0003996849060058594,gini,,1,6,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.9795918367346939,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.0023986339569091798,0.0004895704449951435,0.0015990734100341797,0.0004896872457665585,gini,,1,7,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.9795918367346939,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9877551020408163,0.00999791731748237,1
0.0019988059997558595,1.1680077279964343e-07,0.0013992786407470703,0.0004896872457665585,gini,,1,8,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.9795918367346939,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9877551020408163,0.00999791731748237,1
0.001999092102050781,5.091227651611e-07,0.001998567581176758,4.422005889652111e-07,gini,,1,9,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.9795918367346939,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9877551020408163,0.00999791731748237,1
0.0019989013671875,0.0,0.0015990257263183594,0.00048964831991544,gini,,1,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9795918367346939,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9877551020408163,0.00999791731748237,1
0.0021988391876220704,0.00039999486081696955,0.0015992164611816407,0.0004898041161700017,gini,,2,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9387755102040817,0.9795918367346939,0.9795918367346939,1.0,0.9791666666666666,0.9754251700680273,0.019979193443921295,565
0.002198457717895508,0.00039935116269695,0.0017990589141845704,0.0003994467862681263,gini,,2,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.9387755102040817,0.9795918367346939,0.9795918367346939,1.0,0.9583333333333334,0.9712585034013606,0.020914910394072374,818
0.0027984619140625,0.0003998999482492544,0.0015988349914550781,0.0004894926320069067,gini,,2,4,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4}",0.9387755102040817,0.9591836734693877,0.9795918367346939,0.9791666666666666,0.9791666666666666,0.9671768707482993,0.01619981651916941,887
0.0029976367950439453,0.0006309026655860932,0.0017948627471923828,0.0007468973863022507,gini,,2,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9387755102040817,0.9387755102040817,0.9795918367346939,1.0,0.9791666666666666,0.9672619047619048,0.024447833474928675,856
0.0019988059997558595,3.8738433859996607e-07,0.0011992931365966796,0.00039968499133819787,gini,,2,6,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6}",0.9387755102040817,0.9387755102040817,0.9795918367346939,1.0,1.0,0.9714285714285715,0.02768297952296026,760
0.0019988059997558595,4.672030911985737e-07,0.000999116897583008,3.2340669551493016e-07,gini,,2,7,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 7}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
0.0019989013671875,3.371747880871523e-07,0.0017990589141845704,0.00039980441031501127,gini,,2,8,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
0.0019989967346191405,3.2340669551493016e-07,0.001998567581176758,5.352483825837052e-07,gini,,2,9,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 9}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
